Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2012","2012","ha","110366","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2013","2013","ha","120970","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2014","2014","ha","142952","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2015","2015","ha","147872","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2016","2016","ha","154556","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2017","2017","ha","154300","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2018","2018","ha","151832","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2019","2019","ha","171569","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2020","2020","ha","178777","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0142","Groundnuts, excluding shelled","2021","2021","ha","203839","A","Official figure"
