"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20140101","2014","1","201401","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5853851","false","8","kg","5853851","false","5853851","false","0","false","0","8421398","8421398","0","false","true",
"C","M","20140201","2014","2","201402","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4236088","false","8","kg","4236088","false","4236088","false","0","false","0","6052640","6052640","0","false","true",
"C","M","20140301","2014","3","201403","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4112554","false","8","kg","4112554","false","4112554","false","0","false","0","5777786","5777786","0","false","true",
"C","M","20140401","2014","4","201404","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5019854","false","8","kg","5019854","false","5019854","false","0","false","0","6816730","6816730","0","false","true",
"C","M","20140501","2014","5","201405","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5150522","false","8","kg","5150522","false","5150522","false","0","false","0","6836241","6836241","0","false","true",
"C","M","20140601","2014","6","201406","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4532175","false","8","kg","4532175","false","4532175","false","0","false","0","6003367","6003367","0","false","true",
"C","M","20140701","2014","7","201407","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7835080","false","8","kg","7835080","false","7835080","false","0","false","0","10324316","10324316","0","false","true",
"C","M","20140801","2014","8","201408","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5826766","false","8","kg","5826766","false","5826766","false","0","false","0","7605428","7605428","0","false","true",
"C","M","20140901","2014","9","201409","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6206984","false","8","kg","6206984","false","6206984","false","0","false","0","8360446","8360446","0","false","true",
"C","M","20141001","2014","10","201410","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5074551","false","8","kg","5074551","false","5074551","false","0","false","0","6807267","6807267","0","false","true",
"C","M","20141101","2014","11","201411","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5391040","false","8","kg","5391040","false","5391040","false","0","false","0","7141726","7141726","0","false","true",
"C","M","20141201","2014","12","201412","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4541395","false","8","kg","4541395","false","4541395","false","0","false","0","5955957","5955957","0","false","true",
