"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20200101","2020","1","202001","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","77315346","false","8","kg","77315346","false","77315346","false","0","false","0","77743300.054","77743300.054","0","false","true",
"C","M","20200201","2020","2","202002","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73545718","false","8","kg","73545718","false","73545718","false","0","false","0","79855115.915","79855115.915","0","false","true",
"C","M","20200301","2020","3","202003","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","58119450","false","8","kg","58119450","false","58119450","false","0","false","0","67901534.191","67901534.191","0","false","true",
"C","M","20200401","2020","4","202004","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12654434.922","true","-1","N/A","0","false","12654434.922","true","0","false","0","15163118.394","15163118.394","6","false","true",
"C","M","20200501","2020","5","202005","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26506648","false","8","kg","26506648","false","26506648","false","0","false","0","32018139.154","32018139.154","0","false","true",
"C","M","20200601","2020","6","202006","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44661150.299","true","-1","N/A","0","false","44661150.299","true","0","false","0","51860368.914","51860368.914","6","false","true",
"C","M","20200701","2020","7","202007","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","56252870.055","true","-1","N/A","0","false","56252870.055","true","0","false","0","67933295.78","67933295.78","6","false","true",
"C","M","20200801","2020","8","202008","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34535453.657","true","-1","N/A","0","false","34535453.657","true","0","false","0","41717754.601","41717754.601","6","false","true",
"C","M","20200901","2020","9","202009","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24089511","false","8","kg","24089511","false","24089511","false","0","false","0","27798241.918","27798241.918","0","false","true",
"C","M","20201001","2020","10","202010","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","57213598","false","8","kg","57213598","false","57213598","false","0","false","0","61340394.976","61340394.976","0","false","true",
"C","M","20201101","2020","11","202011","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","113223543","false","8","kg","113223543","false","113223543","false","0","false","0","119411474.356","119411474.356","0","false","true",
"C","M","20201201","2020","12","202012","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101486828","false","8","kg","101486828","false","101486828","false","0","false","0","108805431.584","108805431.584","0","false","true",
