Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2012","2012","tonnes","334224","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2013","2013","tonnes","389783","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2014","2014","tonnes","402626","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2015","2015","tonnes","500060","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2016","2016","tonnes","560463","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2017","2017","tonnes","546929","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2018","2018","tonnes","563344","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2019","2019","tonnes","580573","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2020","2020","tonnes","651130","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2021","2021","tonnes","794225","A","Official figure"
