Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2012","2012","tonnes","4695000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2013","2013","tonnes","9472000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2014","2014","tonnes","7402000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2015","2015","tonnes","6733000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2016","2016","tonnes","7462000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2017","2017","tonnes","7461530","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2018","2018","tonnes","9252570","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2019","2019","tonnes","6727180","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2020","2020","tonnes","9952020","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0142","Groundnuts, excluding shelled","2021","2021","tonnes","10244000","A","Official figure"
