Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2012","2012","tonnes","721077287","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2013","2013","tonnes","768090444","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2014","2014","tonnes","736108487","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2015","2015","tonnes","750290277","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2016","2016","tonnes","768594154","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2017","2017","tonnes","758646205","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2018","2018","tonnes","747556774","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2019","2019","tonnes","753470465","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2020","2020","tonnes","757116855","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2021","2021","tonnes","715659212","A","Official figure"
