"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","2,2833","2,4100","2,4437","2,2535","","-5,28%"
"01.02.2012","2,2875","2,2879","2,3045","2,2360","","0,18%"
"01.03.2012","2,4360","2,2854","2,4430","2,2678","","6,49%"
"01.04.2012","2,5262","2,4540","2,5312","2,3726","","3,70%"
"01.05.2012","2,4989","2,5216","2,6674","2,4741","","-1,08%"
"01.06.2012","2,5432","2,4999","2,6228","2,4896","","1,77%"
"01.07.2012","2,5288","2,5464","2,5533","2,4448","","-0,57%"
"01.08.2012","2,5527","2,5288","2,5851","2,4700","","0,95%"
"01.09.2012","2,6070","2,5545","2,6727","2,5482","","2,13%"
"01.10.2012","2,6315","2,6066","2,6721","2,5977","","0,94%"
"01.11.2012","2,7768","2,6317","2,7792","2,5868","","5,52%"
"01.12.2012","2,7015","2,7726","2,7884","2,6720","","-2,71%"
"01.01.2013","2,7029","2,7020","2,7387","2,6410","","0,05%"
"01.02.2013","2,5864","2,7031","2,7229","2,5791","","-4,31%"
"01.03.2013","2,5937","2,5869","2,6249","2,5243","","0,28%"
"01.04.2013","2,6345","2,5933","2,6455","2,5701","","1,57%"
"01.05.2013","2,7835","2,6358","2,7932","2,5933","","5,66%"
"01.06.2013","2,9027","2,7545","3,0059","2,7230","","4,28%"
"01.07.2013","3,0276","2,9040","3,0565","2,8810","","4,30%"
"01.08.2013","3,1541","3,0292","3,2797","3,0006","","4,18%"
"01.09.2013","2,9968","3,1532","3,1674","2,9480","","-4,99%"
"01.10.2013","3,0410","2,9976","3,0511","2,9044","","1,47%"
"01.11.2013","3,1737","3,0427","3,1868","3,0182","","4,36%"
"01.12.2013","3,2463","3,1751","3,2743","3,1581","","2,29%"
"01.01.2014","3,2529","3,2469","3,3466","3,1565","","0,20%"
"01.02.2014","3,2270","3,2555","3,3286","3,1772","","-0,80%"
"01.03.2014","3,1270","3,2236","3,3010","3,0924","","-3,10%"
"01.04.2014","3,0949","3,1281","3,1504","3,0245","","-1,03%"
"01.05.2014","3,0538","3,0965","3,1294","3,0050","","-1,33%"
"01.06.2014","3,0308","3,0563","3,1196","2,9778","","-0,75%"
"01.07.2014","3,0302","3,0319","3,0593","2,9720","","-0,02%"
"01.08.2014","2,9357","3,0315","3,0932","2,9349","","-3,12%"
"01.09.2014","3,0882","2,9378","3,1480","2,8907","","5,19%"
